JASPER	Alberta's ___ National Park
JOINUP	Enlist
ACTONE	Opening on stage
STANCE	Posture
PASCAL	"Essay on Conics" author
ENCORE	Second coming?
REAMEDOUT	Tongue-lashed
HANGTEN	Take a surfing position
HEAROF	Learn by accident
AMBER	Color of honey
NILS	Rock guitarist Lofgren
GRE	Princeton Review subj.
TASMANIA	Macquarie Harbour site
ERASURES	Errata reducers
NEWSIEST	Like the best letters from home
OCTANE	It's often in the 90's
SEMIRARE	Not too common
STAFFENTRANCE	Door that is not for visitors
ITASCA	Lake ___, source of the Mississippi
TABLESAW	Woodworking tool
NONCOM	Private motivator?
ARES	___ Vallis (where the Mars Pathfinder landed)
MSS	Ed.'s in-box filler
UNCAREDFOR	Neglected
DOLT	Dunce cap earner
MAUI	View from Molokai
MERE	Simple
PEELEDOFF	Like decals
GENRE	Variety
GEL	Set
OLE	Adjective often following good
SERIES	Run
STINKBOMB	Protester's tool, maybe
LASTBUTNOTLEAST	Almost final words
LIFELESS	Inert
AMENAMEN	Numbers 5:22 finale
SPLITPEA	Kind of soup
TOLD	Related
BRA	Two-cupper
ORAN	Algerian port
IMPORT	Bring in
TRI	Prefix with state
FELLA	Mac
TRANSLATE	Decode, in a way
TRAINS	Some bullets
SCARER	Bogeyman
LATINO	Like about 13% of Americans
APTEST	Most pertinent
TRENCH	Channel
EARTHS	"___ crammed with heaven": E. B. Browning
ENID	"Idylls of the King" lady
FRANKCAPRA	"The Name Above the Title" autobiographer
FETOR	Awful smell
LAT	Global positioning fig.
MEAN	Stand for
MALE	Kind of bonding
BATTER	One up
EMPHATIC	Stressed
HAR	Hardy follower
ORIENT	It's no occident
SEEALONE	Meet with privately
MENSCH	Decent guy
SNARERS	Gin makers
BROTHS	Parts of stews
