TIES	Games nobody wins
TACO	Tex-Mex snack
IRON	Wrinkle remover
ECUA	Quito's country: Abbr.
SOLD	Auctioneer's closing word
SIZE	Small, medium or large
SKATEBOARD	Kid's wheels
INFEAR	Scared (of)
ZOO	Animal house
ETON	English prep school
LIME	Green fruit drink flavor
LIEDTO	Deceived
INDISGUISE	Wearing a costume, say
MOMA	N.Y.C. gallery
ENE	U-turn from WSW
ARCO	West Coast gas brand
KNOT	Shoelace problem
INON	Get ___ a good thing
COULDAFOOLEDME	"Well, I'll be!"
DAB	Apply gently
LAP	Napkin's place
ONADATE	Out for the evening, maybe
NADIA	Gymnast Comaneci
BEAR	Yogi or Smokey
RISE	Greet the day
PTS	Quart divs.
ABCS	"Sesame Street" skills
ATWAR	Battling
BOONE	Daniel with a coonskin cap
COUNTMEOUT	"I don't want any part of it"
STL	Cardinals' team letters
BRIO	Get-up-and-go
ONEMANRULE	Dictatorship
OGRE	Folklore meanie
RACED	Thumped fast, as the heart
EWERS	Decorative jugs
TOOTOO	Overly, informally
ODS	Takes too much, briefly
SNO	___-Cat (off-road vehicle)
ONO	Lennon's lady
UAW	Motor City labor org.
WOULDABEENNICE	"If only ..."
BOOB	Doofus
NUB	Kernel
ANN	Late columnist Landers
SRO	Broadway hit letters
MOUSER	Cat that catches rodents
RETD	No longer on active duty: Abbr.
DEPUTY	Sheriff's sidekick
DORA	"Dumb" girl of old comics
ROTGUT	Cheap booze
BEDS	Fourposters, e.g.
MET	Got together
TIL	Up to, informally
BOND	007
DIE	Fizzle out
SEPIA	Photo tint
SHOT	Flu season protection
ADMS	U.S.N. bigwigs
TRIPOLI	Port in "The Marines' Hymn"
PSST	"Check this out!"
OSLO	Norway's capital
LEON	"Exodus" author Uris
IDES	Fateful March day
SHOULDAGUESSED	"Stupid of me not to know"
SRI	___ Lanka
AAA	Battery size
ROUT	Defeat decisively
MAUL	Handle roughly
SLOE	___ gin fizz
ITTY	___-bitty
SATE	Stuff to the gills
TONS	Weigh station units
