CACTUS	Xerophyte
COUPLE	Dance team
ANGLED	Like hockey sticks
CLAUDE	18th-century French artist Gillot
TINSEL	Decorative threads
UNDERWATER	Masks are worn here
SEASHELLS	Oldest known form of currency
ASKSFOR	Demands
ARISES	Surfaces
SETIN	Became widespread
KATT	William of TV's "The Greatest American Hero"
STEWARDS	Some Amtrak employees
FIREBOAT	Vessel that pumps the water it's floating in
OVERLAYS	Sheets used in four-color printing
REDEEMS	Cashes in
ONLINE	Surfing, say
CREATIVE	Outside-the-box
CLASSY	Upmarket
UGANDA	Nation with a red-crested crane on its flag
LITTERED	Strewn
PLUSES	Good things
ASITWERE	So to speak
LEDERHOSEN	Oktoberfest duds
OILY	Lubricative
ABLE	Talented
EDELWEISS	Song that ends "Bless my homeland forever"
PROAM	Certain charity event
POINTCOUNT	Bridge hand assessment
ALLY	Supporter
TODAYS	___ special
TOILETTES	Morning routines
RATTLY	Like a junker's engine
REMINDER	Note on the fridge, maybe
ALBACORE	Relative of a bigeye
TEETIMES	Certain club reservations
HOISTS	Dumpster lifters
HELP	1965 #1 hit with an exclamation point in its title
MELEES	Free-for-alls
MAFIOSO	Family member
VEIN	Blood line
VESTRY	Church committee
AMBER	Resin from ancient trees
TELLTALES	Dead giveaways
TENETS	What a creed is composed of
ATONCE	Pronto
LILIAN	Mystery author ___ Jackson Braun
EVENSO	Despite what you say
SEDGES	Swamp grasses
FIAT	Show of absolute power
RESPECTIVE	Corresponding
RETIE	Secure anew
INCIDENT	Regrettable occurrence
DENT	Ding
TOOLED	Hand-decorated
ODOMETER	Auto part you shouldn't tamper with
TUNING	Preshow ritual
SERENITY	"___ is knowing that your worst shot is still pretty good": golfer Johnny Miller
ENCASE	Cover
ORESTES	Matricide of Greek myth
STENOS	Record producers
