PJS	Sleepwear, informally
PRO	___ or con
JIF	Skippy alternative
SOFTSHOE	Form of tap dance
SFPD	Law enforcement org. featured in "Bullitt"
SITU	In ___ (as found)
FLAMBE	Served on fire, as cherries jubilee
PIGPEN	Sty
DEE	Ruby or Sandra of film
SOMBER	Like a requiem
SQUIRREL	Acorn lover
OUNCE	1/16 pound
MAS	Some grad school degrees
BYENOW	"See ya later"
ELAINE	Actress/director May
RETAGS	Changes the price of, as at the supermarket
RIO	___ de Janeiro
ILIE	Tennis's Nastase
QUAYLE	Former vice president Dan
OFFSTAGE	Where Claudius is during Hamlet's "To be, or not to be" soliloquy
SHY	Reluctant to meet people, say
UNSEAT	Defeat, as an incumbent
THUMP	More than a gentle tap
BIC	Inexpensive pen
BOONE	Frontiersman Daniel
NIA	Actress Vardalos of "My Big Fat Greek Wedding"
POSY	Bouquet
PEW	Sunday seat
OTOS	Plains tribe
BEFORELONG	Any time now
FISHEYE	Kind of lens with a wide angle
LEDIN	Saw to a seat at church, say
ETH	Biblical verb ending
SENIOR	12th grader
SROS	Sellout signs
EWES	Rams' madams?
WOOER	One who goes a-courting
ECASH	Online money
SNEAD	Three-time Masters winner Sam
APER	Copycat
SECONDHELPING	Extra plateful
NOTFORME	"No thank you"
DROID	R2-D2, for one
NINTENDO	Video game maker that owns the Seattle Mariners
GAIL	Collins on the Op-Ed page
ASORE	Stick out like ___ thumb
ENIAC	Early computer that weighed 30 tons
CPO	"___ Sharkey" of 1970s TV
AGAS	Old Turkish leaders
ARTIST	Warhol or Wyeth
GIANTS	San Francisco nine
AGLARE	Blazing
TOYCAR	Matchbox racer
CLOWNS	Performers with big red noses
ADROIT	Dexterous
NIP	Tiny bite
RIGHTFIELD	Position for Babe Ruth
TREAS	Club finance officer: Abbr.
STLO	Normandy battle site
STA	Depot: Abbr.
TAL	1960s world chess champion Mikhail ___
ROD	Tennis legend Laver
ORATE	Make a grand speech
AHSO	"I see," facetiously
INANER	More nonsensical
NET	Butterfly catcher
TWOHANDS	Things a clock has ... or, literally, what 17-, 25-, 35- and 50-Across are
TUE	U.S. Election Day, e.g.: Abbr.
DEW	Morning moisture
SOL	Note above fa
STREAM	Creek
UNIS	Les États-___
DEO	___ gratias (thanks be to God: Lat.)
TSETSE	Feared African fly
ESTO	This, in Tijuana
OWL	Bird that gives a hoot
