DORS	British sex symbol Diana
DECAF	Joltless joe
ODOUL	Two-time batting champ Lefty
RILLE	Lunar valley
SEDAN	Roomy vehicle
WRAP	Tortilla, to a burrito
WHITEHOT	Impassioned
RAN	Showed
ALES	Pub potables
PORTAL	Way in
PIZZA	Food often cut in eighths
PITBOSS	Casino honcho
IDO	Swearing-in words
ZINE	Fans' publication, for short
ZONE	Defense type
AMEN	"You said it!"
EDIE	Plimpton book subtitled "An American Biography"
HALO	Good sign?
IDIOM	"Up the creek," e.g.
COLDMINER	Eskimo prospector?
MISC	Junk drawer abbr.
TONNE	1,000 kilograms
AULAIT	Like some coffee orders
STAB	Feeling of pain
ANY	"___ takers?"
EEN	Dark time for poets
FLENSED	Defatted, as a whale
DIRE	Calamitous
ANON	Not quite yet
NAILS	Epitome of toughness
CHILLYSAUCE	Eskimo hot dog topping?
LENDL	Three-time U.S. Open winner Ivan
UTAH	Zion National Park home
CONE	Dunce cap shape
ENDS	Winds up
FEEL	Have hands-on experience?
FUJI	Honshu peak
ERIC	Grid great Dickerson
EGGY	Like zabaglione
LEGIT	Kosher
ORE	Tram filler
SITON	Suppress
URGE	More than suggest
TENDS	Waits on
DANA	Andrews or Carvey
SHOVELED	Cleared of snow
LAND	Sight from the crow's-nest
JIGGS	Maggie's mate, in the comics
STOPGAP	Temporary fix
DAH	"Well, lah-di-___"
SHES	Cows and sows
ICYITALLNOW	Eskimo words of enlightenment?
AGE	Ripen
LANCER	Cavalry member
WAND	Tinker Bell prop
TOGA	Attire worn with sandals
AVAILED	Was of use
IDEAL	Worth a ten
LISLE	Fine cotton thread
EVADE	Give the slip to
DECOR	Furnishings
AKA	Wanted-poster letters
ADDS	Throws in
KEEL	Boat's backbone
ABLE	Fully qualified
PEND	Hang
DOLE	Loser in 1996
ENDIVE	Salad green
DEBUG	Remove errors from
UTE	Western Amerind
COOLDESAC	Eskimo street?
OLE	Pamplona cry
DELTA	Mississippi's ___ State University
ELLE	Vogue competitor
ALDO	Designer Gucci
SLEEP	"The sweetest gift of heaven": Virgil
REED	Critic Rex
LEER	Look of a wolf
