JUTS	Protrudes
JAW	Paleontologist's discovery
UTAH	Delta Center N.B.A. team
TOGO	Like some pizza orders
SPEW	Gush forth
LAST	Stay to the finish
LOCALS	Townies
AROSE	Lost a lap?
SCAT	"Vamoose!"
TAXI	Hailer's cry
PACER	Harness racer
PARSON	Person of the cloth
ADOPT	Vote to accept
CODA	Musical finale
ERIC	___ the Red
RENE	Director Clair
ATOP	Straddling
ORCA	Whale of a movie?
ADORE	Be wild about
WAGE	Hourly pay
COAX	Try to persuade
RODIN	"The Thinker" sculptor
HOWVASTISSPACE	Title of a certain astronomy lecture
VINNY	1992 Joe Pesci title role
SLATE	Party offering
ILE	___ de France
LOT	Auction unit
MASONS	Fraternal group
MABEL	Silents star Normand
ALONE	Unescorted
SLOTS	Vegas coin-ops
OAKS	Producers of 46-Downs
FLAN	Custard dessert
FURLS	Rolls up, as a flag
LIST	Shopper's aid
PAN	Part-goat god
PANIC	Lose one's cool
ATONE	Make amends
NEWER	Fresher
ALLAN	Funny Sherman
QUIT	Call it a day
QUIP	Groucho remark
SATE	Fill beyond full
STAN	Mikita of hockey
BOOKYOURSEATNOW	With 48-Across, practical advice for attending the lecture
OKAPI	Cousin of a giraffe
AMATI	Valuable violin
ENTS	Tolkien tree creatures
KILT	Bagpiper's wear
MAINE	Augusta's home
LES	Bandleader Brown
SAPS	Gullible sorts
SMELTS	Refines, as ore
DANCER	Astaire or Rogers
DIMPLE	Endearing facial feature
AMP	Roadie's load
ACORN	Squirrel's stash
FIT	In great shape
FILET	Boneless cut
SPACEISLIMITED	See 37-Across
SCOW	Flat-bottomed boat
PAVE	Do roadwork
AREA	Neck of the woods
SPAM	Many cyber-ads
LUXE	Richness
TALK	Spill the beans
EWAN	Actor McGregor
DAZE	Stun
CAROL	Yule tune
PULP	Orange component
AWAY	On the road
YEW	Bow wood
OVERT	For all to see
AXEL	Leap for Lipinski
LAZE	Veg out
WEANS	Withdraws gradually
METE	Apportion, with "out"
KNEW	Had down cold
