LIAR	Fudge maker?
LAPELS	Boutonnieres' places
ICEMAN	One found just around the block?
AROUSE	Pique
REP	Account overseer, for short
AMANA	Iowa's ___ Society
ALERO	Car discontinued in 2004
MOWERS	Grounds crew
ARI	"Exodus" hero
NET	Bring home
ASHY	Pasty-faced
STAN	Asian nation suffix
STYLED	Like hair at salons
TOPPRIZE	Gold medal, e.g.
ATE	Lunched
NEO	Opposite of paleo-
ACRE	A lot?
LORES	Like early PC graphics
TOTE	Mall aid
PEOPLEWITHTYPEO	Start of a quip
LOWRISE	Like some women's jeans
TEE	___ time (course slot)
EMU	Big bird
ORE	Source of iron
YELP	Pound sound
LASTWORDS	Some are famous
TEAR	Hotfoot it
DEBASER	Demeaning one
SEAL	Use wax on
EERIE	Unearthly
IBIS	Egyptian sacred bird
ESP	Empath's skill
SNEER	Elvis trademark
SEED	Induce rain from
DRIP	Coffeemaker style
DIBS	Claimer's cry
AID	Grant-in-___
DOVE	Went off the deep end?
BARS	Milky Way and others
STUTTER	Sing "K-K-K-Katy," say
ZIP	City, state, ___
PERSONALITIES	Quip, part 2
PERU	Big silver exporter
EYECANDY	Nice things to look at
NEXT	Counter call
IGOR	1974 Marty Feldman comic-horror role
HEY	"Yo!"
HAD	Took to the cleaners
EVES	Times to revel, maybe
PUG	Not the handsomest dog
AREA	Surface figure
ATCOST	For no profit
EXES	Ones who've gone splitsville
SEATED	Ready for dinner
TOGAS	Circus Maximus attire
GURGLE	Fountain sound
ANCHOR	Hold fast
SKATED	Did toe loops, say
DUCTS	Vas deferens and others
SET	"Quiet!" locale
TREETRUNK	Place for carved initials
EVERY	Part of the mnemonic for EGBDF
ACES	Top guns
SWAM	Started a triathlon
AVE	Circus Maximus greeting
RCA	MP3 player maker
DONOTWRITERIGHT	End of the quip
DEF	Hip-hop "cool"
ONO	Noted resident of the Dakota
ROO	Milne marsupial
ILL	Off one's feed
IAN	Actor McKellen
ENDS	___ of the earth
AOLER	"You've got mail" hearer
ALOE	Lily family member
FOYT	Four-time Indy winner
MOLDY	Rotten
NERD	Uncool sort
